client_id,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,visitor_id,visit_id,process_step,date_time,variation
16135,170.0,63.5,F,2.0,173616.2,3.0,6.0,973833159_30067220181,725277869_39816191426_221546,0,2017-04-09 20:20:30,0
16135,170.0,63.5,F,2.0,173616.2,3.0,6.0,973833159_30067220181,739783204_67389693968_203186,1,2017-04-11 21:18:54,0
16202,94.0,36.0,U,2.0,32984.48,1.0,4.0,74006986_82466416065,645653515_55313657084_433580,1,2017-05-02 07:20:26,0
16679,89.0,40.0,U,2.0,65987.79999999999,6.0,9.0,969102987_82457129532,204164301_17766221239_325215,0,2017-03-22 11:48:16,0
16679,89.0,40.0,U,2.0,65987.79999999999,6.0,9.0,959665218_67396459252,631094538_40934578387_732941,2,2017-03-22 19:19:39,0
16679,89.0,40.0,U,2.0,65987.79999999999,6.0,9.0,959665218_67396459252,85558076_31261622200_309744,0,2017-05-05 10:39:27,0
16744,224.0,62.0,F,2.0,117267.04,1.0,4.0,766096095_2144396134,597759195_79881251371_979710,0,2017-06-13 07:59:31,0
16747,166.0,31.5,F,2.0,64652.09,1.0,4.0,191665641_90974278230,710509256_16863194822_534405,4,2017-04-21 08:01:32,0
17008,304.0,55.5,M,2.0,27571.03,1.0,4.0,970665876_3539744812,783164451_73914575132_100535,4,2017-04-17 12:22:43,0
18660,222.0,45.0,M,2.0,98708.9,2.0,5.0,752495227_56656898955,599771749_31789266570_129560,0,2017-06-01 12:28:50,0
19613,84.0,26.0,U,2.0,69056.51999999999,4.0,7.0,202312306_84458574057,776020228_19398499363_471934,0,2017-03-31 10:32:05,0
19782,82.0,61.5,U,2.0,27840.35,2.0,5.0,622496272_80605608962,595959804_30727742247_747416,4,2017-03-29 11:53:17,0
19813,168.0,65.0,F,2.0,31462.06,0.0,3.0,670697421_80054613810,143231681_56019816087_517213,4,2017-05-03 13:03:58,0
19832,168.0,63.5,F,2.0,97291.64,3.0,6.0,129098786_3400630737,328338410_97956782579_812900,4,2017-04-23 17:20:38,0
20537,109.0,74.5,F,2.0,72955.33,6.0,9.0,200556165_70944647198,361956812_35822130107_210159,4,2017-03-29 18:57:51,0
20898,58.0,27.0,U,2.0,44859.81,3.0,6.0,165663625_75766926467,153996100_87123014606_959742,0,2017-04-06 07:00:40,0
21242,163.0,30.5,F,2.0,42414.56,6.0,9.0,28758684_34903550390,49249722_23282484399_943418,4,2017-04-23 14:42:12,0
21353,260.0,77.5,F,2.0,25418.25,2.0,5.0,600870620_47652177803,530967959_67713638520_172683,4,2017-04-06 07:03:13,0
21498,193.0,70.5,F,2.0,50672.1,5.0,8.0,112796748_95489419773,328839464_75225165174_487994,3,2017-04-05 15:55:39,0
21498,193.0,70.5,F,2.0,50672.1,5.0,8.0,112796748_95489419773,514004431_53392778526_830876,4,2017-04-06 15:43:45,0
21719,60.0,27.0,M,2.0,30765.88,0.0,3.0,196314004_84192683360,790931569_86751430606_232479,3,2017-04-12 11:11:00,0
21940,150.0,43.5,M,2.0,33031.88,6.0,9.0,805212536_88115807517,187237415_73313185916_621734,0,2017-04-19 16:03:07,0
21940,150.0,43.5,M,2.0,33031.88,6.0,9.0,805212536_88115807517,264497886_42393255597_533913,2,2017-04-13 00:16:26,0
21940,150.0,43.5,M,2.0,33031.88,6.0,9.0,290323712_179611209,794772723_91591789623_49001,4,2017-04-19 16:08:10,0
23276,158.0,67.5,M,2.0,183345.95,3.0,6.0,45006070_62818213457,270328799_4570983539_741814,4,2017-03-29 17:47:34,0
23864,196.0,47.5,M,2.0,192922.53,2.0,5.0,138132593_28891880113,862778992_82264184824_133012,4,2017-04-11 17:31:11,0
24079,125.0,30.0,F,2.0,183067.04,6.0,9.0,934903928_93987640180,854706953_84522230585_304453,0,2017-06-07 11:33:27,0
25043,310.0,59.5,F,2.0,101511.78,6.0,9.0,126533598_19634703847,577479025_23003224575_613058,4,2017-04-05 18:48:17,0
25766,181.0,33.5,F,2.0,70057.79000000001,0.0,3.0,166531704_28515622010,928597717_39366987912_328775,4,2017-03-29 15:58:32,0
26211,181.0,41.5,F,2.0,175885.87,0.0,3.0,182472276_98193362635,759018254_96720413650_129156,4,2017-04-08 19:33:47,0
26286,149.0,71.0,F,2.0,27511.56,3.0,6.0,108334206_5186343436,646886381_6575690337_472133,1,2017-04-12 18:29:06,0
27554,194.0,36.0,M,2.0,88188.19,3.0,6.0,173459122_5671827927,139832184_11300974912_420847,4,2017-05-11 21:32:41,0
28705,190.0,53.0,F,2.0,24910.86,6.0,9.0,671211728_52294615240,253690336_77914363104_423070,2,2017-05-10 12:27:54,0
28705,190.0,53.0,F,2.0,24910.86,6.0,9.0,671211728_52294615240,985523128_60878108519_475101,4,2017-06-13 13:03:46,0
28845,144.0,33.5,M,2.0,129771.01,1.0,4.0,274228726_97307081181,580952843_92010541238_958716,4,2017-04-12 22:46:01,0
28857,178.0,52.0,M,2.0,104511.86,3.0,6.0,92635092_88286701142,20611935_38968216552_8195,0,2017-04-13 20:00:08,0
28857,178.0,52.0,M,2.0,104511.86,3.0,6.0,92635092_88286701142,799390760_4399594763_998748,4,2017-06-07 08:26:48,0
29595,68.0,37.0,U,2.0,46514.58,3.0,6.0,343737541_19063774853,196664926_37959631601_567951,4,2017-05-31 11:47:27,0
29595,68.0,37.0,U,2.0,46514.58,3.0,6.0,343737541_19063774853,253828702_4091182456_53800,4,2017-05-10 14:23:50,0
31191,189.0,20.0,M,2.0,26368.84,3.0,6.0,435999517_58802561762,148306535_2150583524_452562,0,2017-06-07 14:40:49,0
31264,174.0,37.0,M,2.0,60888.18,5.0,8.0,91691909_20643284493,249149549_93063430359_775160,0,2017-04-27 17:43:59,0
31264,174.0,37.0,M,2.0,60888.18,5.0,8.0,91691909_20643284493,716532487_25741243212_493535,4,2017-06-08 19:18:43,0
31502,84.0,47.5,U,2.0,57208.46,1.0,4.0,997960069_79388660924,707649935_38522318149_168113,4,2017-03-30 21:05:02,0
31715,85.0,32.5,U,2.0,44980.67999999999,1.0,4.0,272010997_86325403627,270150115_26404318524_194346,4,2017-04-12 20:40:08,0
32197,183.0,42.5,M,2.0,36420.05,1.0,4.0,212910548_17742344909,993583906_25807203277_860781,4,2017-03-29 11:59:45,0
32859,48.0,66.0,U,2.0,36500.69,1.0,4.0,658762479_98727780351,710388620_31710037671_314891,3,2017-03-29 21:06:40,0
33190,171.0,44.0,F,2.0,108890.4,5.0,8.0,18953743_34226483016,147670519_51086053990_177899,4,2017-06-05 21:53:10,0
33463,59.0,33.5,U,2.0,41910.53999999999,2.0,5.0,952539351_71791673316,753474534_6597398149_171746,4,2017-04-20 19:19:38,0
34267,255.0,74.5,M,2.0,38494.91,1.0,4.0,65518856_8852359224,675050464_40640179349_303380,4,2017-04-05 11:36:48,0
34501,143.0,40.0,F,2.0,110211.33,2.0,5.0,744482577_79498082034,41435869_36194904756_599101,0,2017-04-05 13:25:06,0
34501,143.0,40.0,F,2.0,110211.33,2.0,5.0,123079717_22151462290,884415760_74544386850_520553,0,2017-06-01 18:23:47,0
34603,194.0,40.5,M,2.0,58331.59,0.0,3.0,924117810_5992136652,264983456_55288849407_826462,4,2017-03-30 13:37:57,0
34631,154.0,52.0,M,2.0,25427.2,3.0,6.0,292322273_82708113449,933322030_83639599371_585586,0,2017-06-20 19:23:24,0
35257,85.0,32.5,U,2.0,60991.71,2.0,5.0,372133373_9777574891,792270484_79667424754_883949,4,2017-04-07 12:35:36,0
35417,230.0,26.5,F,2.0,73654.44,3.0,6.0,384044523_23302560294,605900266_15899735773_48030,4,2017-04-06 09:07:59,0
37064,60.0,32.5,U,2.0,31717.63,6.0,9.0,488045465_27851224051,108160928_74041165668_179601,4,2017-04-06 08:00:22,0
37295,90.0,31.5,U,2.0,57177.26,3.0,6.0,19086232_16918855588,860974573_56720549903_835373,4,2017-04-30 21:36:24,0
37408,82.0,46.5,U,2.0,35471.71,0.0,3.0,824556260_32757551015,87485400_37788346680_39057,4,2017-04-19 12:21:35,0
38714,122.0,60.0,M,2.0,51584.55,6.0,9.0,423936024_77675215295,800069931_72563880914_503531,4,2017-05-21 15:13:45,0
38930,274.0,25.5,F,2.0,66409.57,3.0,6.0,661627740_45494224423,169926159_54845613863_474836,4,2017-03-30 11:00:01,0
39075,177.0,62.5,F,2.0,226185.21,2.0,5.0,94354315_5268740954,898885344_90280540339_455548,4,2017-04-18 16:11:48,0
39968,57.0,50.0,F,2.0,58599.55,3.0,6.0,116572260_42036780154,738589305_5507250289_173388,0,2017-06-13 22:38:20,0
41516,106.0,55.0,F,2.0,139892.15,2.0,5.0,749562539_73692211778,535379787_70953770369_239486,4,2017-06-05 14:52:01,0
41652,86.0,55.0,U,2.0,32307.6,0.0,3.0,884920411_47514559670,787088364_42565048089_987148,1,2017-05-10 23:14:02,0
42082,194.0,36.0,F,2.0,47308.03,0.0,3.0,159834504_86783116612,829148934_9921404344_147548,4,2017-05-01 14:42:51,0
42296,339.0,81.0,M,2.0,55745.51,2.0,5.0,658245487_7919822171,706376913_10734857558_811890,1,2017-04-26 11:37:41,0
42296,339.0,81.0,M,2.0,55745.51,2.0,5.0,223606082_33779902682,93586204_43300463810_177312,0,2017-04-15 15:10:32,0
43494,269.0,62.0,F,2.0,119162.85,3.0,6.0,474019471_20027768515,192916350_1881896096_594863,0,2017-05-08 13:37:46,0
43494,269.0,62.0,F,2.0,119162.85,3.0,6.0,672176156_90772122603,386967404_43060062970_361355,2,2017-05-02 20:37:26,0
43766,140.0,44.0,M,2.0,29334.71,0.0,3.0,937035979_75342230206,810511056_19414519852_118431,1,2017-05-29 08:53:19,0
44060,64.0,44.5,U,2.0,142002.43,2.0,5.0,368099332_80252248439,897062429_65421712627_71592,4,2017-04-07 18:02:28,0
44216,196.0,44.0,M,2.0,79616.53,6.0,9.0,106495154_2979425095,687063223_33984232717_758527,4,2017-05-18 16:26:32,0
44860,57.0,31.5,U,2.0,59942.13,2.0,5.0,104894175_78493940083,794965500_18939486436_512171,4,2017-04-19 13:12:07,0
46223,109.0,67.0,M,2.0,136226.01,5.0,8.0,773835808_97141187992,243278367_2017139765_629811,3,2017-06-12 23:54:14,0
47402,92.0,27.0,U,2.0,45676.12,6.0,9.0,854385699_7834303210,162840737_3922274774_13497,0,2017-04-05 18:58:34,0
47402,92.0,27.0,U,2.0,45676.12,6.0,9.0,854385699_7834303210,281854265_73613463171_274439,0,2017-04-05 07:38:59,0
47571,68.0,25.5,U,2.0,61967.39,3.0,6.0,631301170_99038286201,113831903_66637399804_682438,4,2017-03-29 12:29:13,0
47933,156.0,49.5,F,2.0,95327.95,1.0,4.0,843424419_56211326357,307556867_98165379376_291369,4,2017-04-03 22:13:31,0
47933,156.0,49.5,F,2.0,95327.95,1.0,4.0,843424419_56211326357,622040287_50892902330_716699,1,2017-04-06 15:34:04,0
48241,262.0,58.0,M,2.0,51519.06,6.0,9.0,436371609_24933651614,360066251_63949380782_132532,1,2017-05-10 15:00:20,0
48241,262.0,58.0,M,2.0,51519.06,6.0,9.0,436371609_24933651614,692569251_47697604544_443937,0,2017-05-11 11:48:04,0
48431,150.0,54.5,F,2.0,82479.58,4.0,7.0,76293008_70564161300,684543557_74744216626_700180,4,2017-03-29 11:31:21,0
49412,136.0,51.5,M,2.0,238126.92,1.0,4.0,260263920_63201765506,838425641_58860619588_407038,4,2017-04-05 23:11:18,0
49450,271.0,62.5,U,2.0,31843.88,3.0,6.0,519931502_26167985789,947417142_54079482666_997512,4,2017-04-09 14:12:11,0
50185,71.0,45.0,U,2.0,37936.41,0.0,3.0,409270338_40062267717,183896514_46132778513_999591,4,2017-05-24 00:32:45,0
50271,73.0,35.5,U,2.0,35740.369999999995,5.0,8.0,904917113_89331760787,475201178_31383506300_405176,4,2017-03-29 12:37:10,0
50643,142.0,53.0,F,2.0,145174.91,4.0,7.0,979100069_88424590012,228651668_23260435028_275589,0,2017-05-03 18:50:36,0
50643,142.0,53.0,F,2.0,145174.91,4.0,7.0,979100069_88424590012,5765693_25724371872_368208,4,2017-06-17 11:33:17,0
50692,62.0,54.0,U,2.0,54807.52,5.0,8.0,209129483_94930539204,121982200_4088324064_848879,0,2017-04-02 14:01:08,0
51814,290.0,60.5,F,2.0,236352.06,3.0,6.0,306370586_34886046101,412387210_89436250619_308924,4,2017-04-05 13:14:41,0
51902,176.0,41.0,M,2.0,41382.42,4.0,7.0,407933819_5423056426,335453040_3847193462_575230,4,2017-05-22 13:51:10,0
52111,106.0,46.0,M,2.0,72348.72,0.0,3.0,814386630_70110636250,299084436_75098989899_564804,1,2017-03-31 23:15:32,0
52111,106.0,46.0,M,2.0,72348.72,0.0,3.0,814386630_70110636250,54519276_56322694663_103480,1,2017-04-12 12:55:22,0
52111,106.0,46.0,M,2.0,72348.72,0.0,3.0,5791144_57988866197,66743123_1421602638_316706,3,2017-04-12 13:07:07,0
52111,106.0,46.0,M,2.0,72348.72,0.0,3.0,144047185_28153710165,82584123_82200827124_627189,4,2017-05-05 17:14:54,0
52384,216.0,62.0,F,2.0,52521.28999999999,3.0,6.0,249645604_8344240288,979687293_60405472260_428244,0,2017-05-06 16:02:24,0
52461,152.0,46.0,F,2.0,118898.6,1.0,4.0,896021644_63808047375,510072961_45375022441_651014,4,2017-05-30 07:34:13,0
52765,98.0,26.5,U,2.0,28268.31,1.0,4.0,500852995_95885249959,473611699_88698300702_676504,4,2017-04-12 11:15:45,0
53094,84.0,29.5,U,2.0,58994.77,0.0,3.0,337837453_65073922194,209692687_657787229_421530,4,2017-04-06 13:00:44,0
53126,73.0,37.5,U,2.0,74616.14,1.0,4.0,930034355_30062243156,292502369_4064709550_81898,4,2017-04-01 16:36:29,0
53169,141.0,44.0,F,2.0,91918.0,6.0,9.0,147805733_4309405544,464234962_87043021614_458051,0,2017-06-04 23:46:27,0
53169,141.0,44.0,F,2.0,91918.0,6.0,9.0,147805733_4309405544,83651464_80099983884_506944,0,2017-05-09 22:36:11,0
53990,119.0,66.0,M,2.0,39756.46,4.0,7.0,796998471_72265240057,116247956_70538225553_674097,3,2017-03-29 12:19:20,0
54291,176.0,54.5,M,2.0,31387.6,2.0,5.0,979954555_97229287903,266600258_97583660405_671014,4,2017-04-10 19:12:48,0
54477,136.0,34.0,F,2.0,28455.07,3.0,6.0,218328765_92026803244,414181663_57579923132_62906,0,2017-04-07 17:54:47,0
55448,110.0,58.5,F,2.0,41450.38,3.0,6.0,840115343_7199681764,867280327_23049734736_74776,0,2017-04-01 17:23:03,0
55448,110.0,58.5,F,2.0,41450.38,3.0,6.0,840115343_7199681764,882125875_3305639408_136269,4,2017-03-30 12:30:39,0
55448,110.0,58.5,F,2.0,41450.38,3.0,6.0,840115343_7199681764,925381309_51194515110_418854,1,2017-04-02 19:15:11,0
56529,171.0,38.0,M,2.0,79617.16,6.0,9.0,223252475_23090603948,526951008_47314864700_913042,4,2017-05-09 13:50:43,0
56782,124.0,45.0,M,2.0,116019.67,6.0,9.0,840477802_83297517816,269787940_29160450218_924856,0,2017-05-24 18:11:36,0
58196,86.0,45.5,U,2.0,59031.46,6.0,9.0,983697480_34448825600,11336552_27599267247_610394,1,2017-04-19 14:44:48,0
58196,86.0,45.5,U,2.0,59031.46,6.0,9.0,500338642_657773211,188152660_90386212987_772182,0,2017-04-06 11:55:01,0
58196,86.0,45.5,U,2.0,59031.46,6.0,9.0,983697480_34448825600,434719687_79082603594_599873,4,2017-04-20 19:30:36,0
58196,86.0,45.5,U,2.0,59031.46,6.0,9.0,983697480_34448825600,704125939_41736894635_80801,3,2017-04-19 14:58:11,0
58196,86.0,45.5,U,2.0,59031.46,6.0,9.0,500338642_657773211,761630724_67204279683_168291,0,2017-04-20 11:46:16,0
58456,183.0,61.0,U,2.0,33476.259999999995,5.0,8.0,85325676_4234306123,746763908_2522971987_50110,1,2017-05-04 12:39:29,0
58456,183.0,61.0,U,2.0,33476.259999999995,5.0,8.0,77260643_6025650290,90751306_25087405649_38294,1,2017-05-07 12:35:05,0
58589,119.0,41.0,U,2.0,86738.88,3.0,6.0,738314398_64542634741,427483961_80964437545_597169,3,2017-05-20 13:52:20,0
58589,119.0,41.0,U,2.0,86738.88,3.0,6.0,738314398_64542634741,680239520_52067597831_970044,3,2017-04-19 13:15:14,0
58589,119.0,41.0,U,2.0,86738.88,3.0,6.0,842997448_53853599914,752031878_5061093307_64878,4,2017-05-20 15:59:06,0
58676,58.0,51.5,F,2.0,42749.84,0.0,3.0,882635297_97720965095,357712611_64009521863_877579,4,2017-03-29 20:05:19,0
58917,170.0,73.0,M,2.0,135903.59,4.0,7.0,62669646_83783891965,810899635_68884091887_154592,4,2017-05-12 13:56:39,0
59089,94.0,61.0,U,2.0,55961.32,0.0,3.0,527550186_58690806202,468022558_49891098407_826256,4,2017-05-21 07:46:44,0
59605,189.0,59.0,F,2.0,94987.66,5.0,8.0,970008507_18567069047,235378732_95535692530_149642,1,2017-04-14 14:36:07,0
59860,106.0,52.0,F,2.0,99777.08,3.0,6.0,7157580_20984012168,13205605_14426073954_328700,4,2017-05-23 15:17:11,0
62498,318.0,66.0,F,2.0,197498.28,0.0,3.0,819901939_80546968310,821228574_77158576724_659124,0,2017-04-02 10:33:17,0
62503,85.0,37.0,U,2.0,148326.71,6.0,9.0,759258929_31034969239,401959480_5470831097_36632,3,2017-04-09 20:17:20,0
62503,85.0,37.0,U,2.0,148326.71,6.0,9.0,759258929_31034969239,905035146_61227097398_642320,0,2017-04-09 21:23:31,0
62837,178.0,31.0,M,2.0,141890.14,6.0,9.0,304946154_37951323919,327442728_8911658620_326140,1,2017-04-19 20:27:48,0
63377,66.0,26.5,U,2.0,52217.12,6.0,9.0,788039467_77470294436,521175398_8295635658_449199,4,2017-04-23 10:03:44,0
64020,189.0,46.5,F,2.0,30617.57,0.0,3.0,773192540_37834411009,972940259_57027907081_631453,4,2017-04-12 16:58:33,0
64871,182.0,47.0,M,2.0,59767.83,2.0,5.0,129139037_82139221578,37893178_33593519288_704655,4,2017-05-13 13:25:05,0
66169,174.0,45.5,M,2.0,36003.61,2.0,5.0,788156762_5097367314,314968019_91486294471_902489,3,2017-04-08 13:25:42,0
66169,174.0,45.5,M,2.0,36003.61,2.0,5.0,788156762_5097367314,906928885_73352156618_120818,4,2017-04-10 12:04:27,0
66543,272.0,65.0,F,2.0,49652.73,4.0,7.0,419590133_34401740992,468005835_23798283716_920376,0,2017-03-29 12:07:43,0
68116,59.0,35.0,F,2.0,50822.41,0.0,3.0,350878140_69114809238,858402622_62350944048_50596,0,2017-03-29 21:05:22,0
68170,288.0,60.0,F,2.0,140668.22,0.0,3.0,929911788_24294990654,221894512_79769719196_453747,0,2017-05-28 07:28:44,0
68854,112.0,51.5,M,2.0,28772.33,2.0,5.0,518023075_39852009617,534538570_84041355580_735657,4,2017-04-19 11:03:20,0
68854,112.0,51.5,M,2.0,28772.33,2.0,5.0,518023075_39852009617,993356145_12703164190_358819,0,2017-04-20 10:30:58,0
69598,106.0,58.0,F,2.0,27306.32,3.0,6.0,340495265_64604408664,890709326_95577312834_960444,4,2017-05-19 16:45:02,0
70225,124.0,33.5,F,2.0,98031.52,3.0,6.0,10421061_82188662618,837204713_61360803202_672978,3,2017-04-02 15:02:50,0
71476,58.0,53.0,U,2.0,39344.13,0.0,3.0,29679030_51860974780,662953527_83603192347_423505,0,2017-04-07 07:10:09,0
73331,177.0,50.5,F,2.0,58785.07,6.0,9.0,36677609_11304866149,901549056_38823704976_582117,4,2017-03-29 12:05:56,0
73335,148.0,37.0,M,2.0,68041.32,0.0,3.0,134353583_52391412605,93412372_8389589808_718793,4,2017-05-28 23:24:48,0
73910,123.0,27.5,M,2.0,47739.17,1.0,4.0,331087954_11621568277,707782085_90861986432_458297,4,2017-03-30 15:30:03,0
75381,170.0,25.0,M,2.0,114364.65,0.0,3.0,232178745_89033983610,6990289_94652568363_568641,1,2017-03-29 12:07:18,0
76776,330.0,62.5,M,2.0,56115.88,1.0,4.0,706771837_52194723708,368612417_10760802665_713588,3,2017-03-29 18:17:30,0
76776,330.0,62.5,M,2.0,56115.88,1.0,4.0,706771837_52194723708,489847726_61096430876_289538,1,2017-04-25 13:31:33,0
77071,69.0,46.5,U,2.0,35284.29,1.0,4.0,664003424_86243725561,196829956_78389432235_899482,4,2017-04-05 19:30:16,0
79229,182.0,42.0,F,2.0,62537.7,2.0,5.0,179971696_7965661641,561436211_18783696711_699,0,2017-06-11 12:42:56,0
79571,122.0,53.0,F,2.0,228555.67,4.0,7.0,55921025_8176529377,728637839_6650605898_524640,4,2017-05-15 11:09:30,0
79571,122.0,53.0,F,2.0,228555.67,4.0,7.0,828490186_72406648289,821804756_63711153384_710046,4,2017-05-12 12:49:15,0
79679,168.0,57.5,F,2.0,35868.44,3.0,6.0,337095511_72786880840,671678169_35863832283_449142,4,2017-04-23 10:16:25,0
80241,157.0,65.0,F,2.0,33963.69,4.0,7.0,929042007_13315662273,244362242_56894855014_681352,0,2017-05-12 16:38:36,0
80241,157.0,65.0,F,2.0,33963.69,4.0,7.0,929042007_13315662273,298772047_66491454995_483348,1,2017-06-13 11:46:47,0
80915,112.0,48.0,M,2.0,71263.61,6.0,9.0,116710954_32986424063,844990761_5997763085_393689,4,2017-05-19 17:49:47,0
81816,102.0,51.0,U,2.0,40549.35,0.0,3.0,840165069_79914946536,122209811_54403341941_899,2,2017-04-15 20:04:07,0
82376,142.0,32.0,M,2.0,36187.4,6.0,9.0,856800536_87449538307,478373048_25134460781_130789,4,2017-06-15 11:31:31,0
82566,148.0,74.5,M,2.0,25887.67,2.0,5.0,165705561_99663584734,387837390_93719368233_907523,4,2017-04-07 11:12:54,0
82723,58.0,35.0,U,2.0,77802.83,3.0,6.0,43564677_63716938425,137255036_83717231435_6015,0,2017-05-08 13:30:57,0
82869,101.0,27.5,U,2.0,32542.3,1.0,4.0,122268084_82834617656,802395828_6682877662_168362,4,2017-04-05 11:20:13,0
83158,196.0,54.5,F,2.0,65664.87,0.0,3.0,263643184_50689332447,668882295_30178735960_182070,4,2017-04-17 08:52:55,0
83447,214.0,48.5,M,2.0,190150.37,6.0,9.0,554387165_75950158076,930956303_25456975683_487624,4,2017-04-02 16:13:57,0
83683,68.0,31.0,U,2.0,62792.96,6.0,9.0,642395897_45801693855,93644698_78281667868_627242,0,2017-04-05 11:28:06,0
84480,154.0,58.5,F,2.0,36141.56,2.0,5.0,681681248_35009595637,642968424_67412904298_47809,0,2017-04-06 12:01:57,0
84480,154.0,58.5,F,2.0,36141.56,2.0,5.0,681681248_35009595637,773195300_52620024115_263186,4,2017-04-06 02:25:25,0
84624,243.0,46.5,U,2.0,86439.87,1.0,4.0,862164494_85494890959,422193671_75218862365_804168,4,2017-04-12 11:28:08,0
85286,301.0,22.0,M,2.0,25235.17,2.0,5.0,627726394_4979888433,917624845_75991358926_910006,1,2017-05-10 18:48:32,0
85515,342.0,75.0,F,2.0,45766.9,1.0,4.0,631484806_26776875094,44469663_78159418759_167275,3,2017-04-20 16:51:14,0
85515,342.0,75.0,F,2.0,45766.9,1.0,4.0,631484806_26776875094,586011869_60985806310_211797,3,2017-04-21 12:19:59,0
85793,82.0,63.5,U,2.0,62159.88,3.0,6.0,674283561_71837039651,653764728_56521876719_931774,4,2017-04-15 08:12:53,0
86499,69.0,21.5,U,2.0,36656.0,2.0,5.0,466318496_92684807059,208261982_71575007952_93784,4,2017-04-12 13:45:10,0
86616,60.0,30.5,U,2.0,38001.13,6.0,9.0,213285569_94748296377,260817534_34952385611_28292,4,2017-03-29 15:54:20,0
86699,286.0,27.5,M,2.0,32339.26,2.0,5.0,78778412_65842551903,193051099_27203058364_390971,4,2017-04-19 11:04:39,0
87218,70.0,27.5,U,2.0,54924.77,6.0,9.0,235114755_24477340433,557340204_35677035322_784350,1,2017-04-02 11:53:14,0
